Crop        ,Season                                            ,Season_num          ,Climate                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,Min_TempC,Max_TempC,FertilizerKgPha                                                                                                                                                                                                                                                    ,Flower_Initiation                                            ,Ist_picking                                                 ,Picking_start_days,Growth_regulator                                                                                                                                                                                                                                                                                          ,Yield                                      ,No.of_pickings:                  ,Date_of_pickings                       ,Gap,Count
Bhindi      ,"(June-July),(Jan-Feb)"                           ,"6,7,1,2"           ,Flower drop-above 42 degC. Optimum temp. for seed germination-29 degC & do not germinate below 17 0 C                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,17       ,42       ,NPK-200:100:100                                                                                                                                                                                                                                                    ,35 DAS                                                       ,45-50 DAS                                                   ,45                ,*Cycocel@100 ppm/ Lehosin@500 ppm at 5-6 leaf stage- to check excess growth during rainy season apply the same before flowering for seed production/size. *To enhance growth during winter & germination- GA3 @100 ppm                                                                                    ,25-27 T                                    ,20-30(alternate days)            ,46-74                                  ,1  ,25
Chilli      ,"(may-june),(august-september),(december-january)","5,6,8,9,12,1"      ,SuitableTemperature-Average Monthly temp. 20-350 C                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,20       ,35       ,NPK-200:100:100                                                                                                                                                                                                                                                    ,45 DAT                                                       ,70-75 DAT(2-5 months)                                       ,71                ,"*NAA@ 50 ppm, at flowering reduces flower drop & increases fruit setting *Lehosin @ 200 ppm improves fruit quality( fruit dev. & capsaicin). *K-increases capsaicin *MH @ 300 ppm & Ethrel @ 200 ppm supressed flowering"                                                                                ,30-35 T (Green).25-40% of green chilli(Dry),6- 10(1-2 weeks interval)3 months,"80,92,104,116,128,140,153"            ,10 ,10
Brinjal     ,"(may-june),(august-september),(december-january)","5,6,8,9,12,1"      ,Average temperature degC.high night and day temp. 22-24 & 33-35 markedly reduce fruit set and yield                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,22       ,35       ,NPK-200:100:100                                                                                                                                                                                                                                                    ,40 DAT                                                       ,70-75 DAT                                                   ,70                ,"*2,4-D @2 ppm- -enhances fruit setting -earliness -Parthenocarpy -advanced fruit formation *Tetracycline-@ 1000 ppm to check mycoplasma"                                                                                                                                                                 ,50-60 T                                    ,8-10(10-12 days interval)        ,"80,91,102,113,124,135,146,157,168,178",11 ,10
Tomato      ,"(may-june),(august-september),(december-january)","5,6,8,9,12,1"      ,Above 320 & below 130 C-dangerous                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,13       ,32       ,NPK-200:100:100. Bo for cracking                                                                                                                                                                                                                                   ,35-36 DAT                                                    ,80 DAT                                                      ,80                ,"*2,4-D @ 2 ppm & NAA @ 1ppm-for fruitset. *Bo-for crackingNAA @ 20-40 ppm - to reduce flower & fruit drop *NAA @ 50 ppm improve fruit quality/taste *Ethrel-@ 600 ppm during fruiting- for ripening & colour *Bo-To avoid fruit cracking GA3 for earlt & uniform germination *Cycocel-seedling hardening",75-80 T                                    ,10-12                            ,                                       ,   ,
Bottle gourd,"(June-July),(Jan-Feb)"                           ,"1,2,6,7"           ,"Av. Temp. 30 degC,Min.20 degC & Max.400C Above 300 C % of male flower increases which is not desired"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,20       ,40       ,NPK-200:100:100                                                                                                                                                                                                                                                    ,Female flower-50-58 days                                     ,60-65 DAS                                                   ,60                ,*Ethrel-increases the % of female flower which in turm enhances the yield *MH@ 50-100 ppm at 2 leaf stage and a week later improves % of Female flowers                                                                                                                                                   ,65-75 T                                    ,                                 ,                                       ,   ,
Ridge Gourd ,"(June-July),(Jan-Feb)"                           ,"1,2,6,7"           ,"Av. Temp. 30 degC,Min.20 degC & Max.40 degC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,20       ,40       ,NPK-200:100:100                                                                                                                                                                                                                                                    ,Female-44-45 days                                            ,50-55 DAS                                                   ,50                ,*Ethrel-increases the % of female flower which in turm enhances the yield                                                                                                                                                                                                                                 ,45-50 T                                    ,                                 ,                                       ,   ,
Bitter gourd,"(June-July),(Jan-Feb)"                           ,"1,2,6,7"           ,"Av. Temp. 30 degC,Min.200 degC & Max.40 degC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,20       ,40       ,NPK-200:100:100                                                                                                                                                                                                                                                    ,Male-45-46 days(20-21st node) Female-50-52 days(24-25th node),55-60 DAS                                                   ,55                ,"*Ethrel -@ 200 ppm, seed soaking/hrdifferentiation of female flowers, *GA3-@ 100 ppm seed soaking- enhances germination, BA @ 25 ppm, seed soaking differentiation of Female flowers"                                                                                                                    ,60-65 T                                    ,                                 ,                                       ,   ,
Cauliflower ,(aug-sep)                                         ,"8,9"               ,"During transformation phase from veg. to curding & curd dev. climate/temp. plays vital role though some devations are attributed to light & water condition. It is physiologically different crop in cole group due to intermediate phase of curding betweeen veg. & generative.Curding from 5 0 C to 28-30 0 C, however, for transformation certain amount of vegetative growth w/be necessary to pass over juvenile phase: optimum is 23 0 C. Tropical crop- curding at 15-20 0 C. When tropical varieties grown in low temp. not only they button quickly after paasing juvenile phase but leads to riceyness to green bud formation.For veg. growth: few degree higher than optimum needed for curd dev.(10-15 days), temp. should not fluctuate too much -deteriorates.",5        ,31.5     ,NPK-200:125:150                                                                                                                                                                                                                                                    ,                                                             ,50-60 DAT                                                   ,50                ,*GA3 effect: more pronounced when curd initiation delayed by high temp.(regulates harvesting time)                                                                                                                                                                                                        ,30-35T                                     ,                                 ,                                       ,   ,
Cabbage     ,(jan-dec)                                         ,1-12                ,Temp. is more imp. Than day length.In our region it is grown in milder winter(E & W parts).Most of Europian cvs. under this condition do not form tight heads(loose & open heads)-reason for poor yield in India. long cold period induces plant to bolt sooner. optimum temp. for growth & heading 15-20 0 C above 25 0 C growth arrested                                                                                                                                                                                                                                                                                                                                                                                                                                    ,15       ,25       ,NPK-200:125:150                                                                                                                                                                                                                                                    ,                                                             ,60-70 DAT                                                   ,60                ,                                                                                                                                                                                                                                                                                                          ,50-55T                                     ,                                 ,                                       ,   ,
Radish      ,(oct-nov)                                         ,"10,11"             ,"Adapted to cool or moderate climate At 20-25 deg C uptake of nutrients was greater and dry matter content was higher, but at still higher temp. of 25-30 0 C root deformation occurs.During hot weather root becomes tough & pungent before reasching edible size.It was noted that yield & quality rose with light intensity"                                                                                                                                                                                                                                                                                                                                                                                                                                               ,19       ,27       ,NPK-100:50:100                                                                                                                                                                                                                                                     ,                                                             ,35-40DAS                                                    ,35                ,*NAA -20ppm improves yield                                                                                                                                                                                                                                                                                ,40-45 T                                    ,                                 ,                                       ,   ,
