Crops,Diseases
Lemon,"Sooty mold,Canker,Greasy spot fungus,Phytophthora root rot,Botrytis leaf blight,Anthracnose"
Potato,"Blackleg,Late blight,Bacterial wilt,Scab"
Radish,"Alternaria leaf spot,Clubroot,Fusarium wilt,Downy mildew,White rust,Damping off"
Tuberose,"Botrytis leaf blight,Stem rot,Bud rot,Alternaria leaf spot,Phytophthora root rot"
Mari Gold,"Bacterial leaf spot,Botrytis leaf blight,Fusarium wilt,Septoria leaf spot"
Jasmine,"Fusarium wilt,Powdery mildew,Southern blight,Bacterial leaf blight"
Mint,"Mint rust,Alternaria leaf spot,Bacterial leaf spot,Verticillium wilt"
Turnip,"Alternaria leaf spot,Downy mildew,Powdery mildew,Anthracnose,Black rot"
Apple,"Collar rot,Scab,Powdery mildew,Black rot"
Sapota,"Alternaria leaf spot,Botrytis leaf blight,Bacterial wilt,Verticillium wilt"
Pomegranate,"Alternaria leaf spot,Botrytis leaf blight,Bacterial wilt,Verticillium wilt"
Pineapple,"Anthracnose,Bacterial leaf spot,Phytophthora root rot,Black rot,Bacterial heart rot"
Papaya,"Bacterial leaf spot,Phytophthora root rot,Phytophthora heart rot,Stem rot"
Mango,"Phytophthora root rot,Anthracnose,Alternaria leaf spot,Canker,Bacterial leaf spot"
Litchi,"Fruit Rot,Blister blight,Alternaria leaf spot"
Guava,"Anthracnose,White rust,Bacterial wilt,Fusarium wilt"
Grapes,"Downy mildew,Powdery mildew,Anthracnose,Black rot,Collar rot"
Citrus,"Canker,Phytophthora root rot,Scab,Anthracnose,Powdery mildew"
Jowar,"Anthracnose,Smut,Downy mildew,Powdery mildew"
Bajra,"Cercospora leaf spot,Downy mildew,Powdery mildew,Ergot,Rust"
Cotton,"Verticillium wilt,Bacterial wilt,Fusarium wilt,Angular leaf spot,Root rot"
Jute,"Stem rot,Bacterial wilt,Blister blight,Downy mildew"
Maize,"Bacterial stalk rot,Bacterial wilt,Charcoal rot,Rust,Downy mildew"
Banana,"Collar rot,Bunchy top,Anthracnose,Rust"
Tea,"Algal leaf spot,Blister blight,Canker,Horse hair blight"
Coffee,"Root rot,Rust,White rust,Coffee berry"
Rubber,"Phytophthora root rot,Bacterial leaf spot,Canker,Root rot"
Coconut,"Bud rot,Bacterial leaf blight,Gray leaf blight,Downy mildew"
Sugarcane,"Sugarcane mosaic,Red rot,Rust"
Rice,"Sheath blight of Rice,Bacterial leaf blight,Rice blast,Brown Spot of Rice"
Wheat,"Phytophthora root rot,Collar rot,Fusarium wilt,Rust"
Watermelon,"Gummy stem blight,Powdery mildew,Fusarium wilt,Bacterial fruit blotch"
Coriander,"Bacterial leaf spot,Damping off,Powdery mildew"
Spinach,"Downy mildew,Anthracnose,Damping off,Fusarium wilt,White rust"
Cluster bean,"Rust,Bacterial leaf blight,Root rot,Damping off,Alternaria leaf spot,Bean mosaic virus"
Cowpea,"Fusarium wilt,Anthracnose,Cercospora leaf spot,Charcoal rot ,Powdery mildew"
Onion,"Botrytis leaf blight,Downy mildew,Root rot,Purple blotch"
Beet root,"Fusarium wilt,Leaf gall,Root rot,Damping off"
Carrot,"Black rot,Powdery mildew,Bacterial leaf spot,Aster yellows"
Cabbage,"White blister,Damping off,Powdery mildew,Bacterial leaf spot,Blackleg,Collar rot"
Cauliflower,"White blister,Damping off,Powdery mildew,Bacterial leaf spot,Blackleg,Collar rot"
Bitter gourd,"Alternaria leaf spot,Anthracnose,Cercospora leaf spot,Downy mildew,Gummy stem blight ,Powdery mildew,Scab,Verticillium wilt,Downy mildew"
Ridge Gourd,"Alternaria leaf spot,Anthracnose,Cercospora leaf spot,Downy mildew,Gummy stem blight ,Powdery mildew,Scab,Verticillium wilt"
Bottle gourd,"Alternaria leaf spot,Anthracnose,Cercospora leaf spot,Downy mildew,Gummy stem blight ,Powdery mildew,Scab,Verticillium wilt"
Tomato,"Canker,Alternaria leaf spot,Verticillium wilt,Bacterial leaf blight,Anthracnose"
Brinjal,"Bacterial wilt,Cercospora leaf spot,Alternaria leaf spot,Damping off,Tobacco mosaic"
Bhindi,"Charcoal rot,Fusarium wilt,Powdery mildew,Southern blight"
Chilli,"grey mould,Anthracnose,Damping off,Bacterial leaf spot"
