Disease,Symptoms,Remedy
Cercospora leaf spot,"his disease causes spots on foliage. The circular blemishes typically have an average diameter of 3 millimeters that is between brown and reddish-purple in color, bordering a gray center. However, if spots have just developed, the gray center will not yet be visible. When this fungus experiences favorable conditions, it may progress through 4 or 5 cycles in one season. Each progressive cycle is often more severe than the previous one, with spots sometimes growing to have a diameter of 10 millimeters. As these spots kill the plant cells, leaves will begin to fall from the plant, causing defoliation","Use the recommended rates of fungicides to control Cercospora leaf spot - do not cut rates. Only one application of Topsin in combination with a protectant fungicide, such as Supertin, should be used during the season. When mixing fungicides, use ¾ of the labeled rate of each fungicide."
 Brown spot of rice,"Symptoms appear as lesions (spots) on the coleoptile, leaf blade, leaf sheath, and glumes, being most prominent on the leaf blade and glumes.The disease appears first as minute brown dots, later becoming cylindrical or oval to circular. The several spots coalesce and the leaf dries up.","Crop rotation,
Adjustment of planting time
Balance dose of nitrogenous fertilizer."
 Rice blast,"On the leaves, the lesions start as small water soaked bluish green specks, soon enlarge and form characteristic boat shaped spots with grey centre and dark brown margin.The spots join together as the disease progresses and large areas of the leaves dry up and wither. Similar spots are also formed on the sheath.","Avoid close spacing of seedlings in the main field.
Spray the main field with Tricyclazole@0.06%."
 Sheath rot of Rice,Small black lesions are formed on the outer leaf sheath near the water line and they enlarge and reach the inner leaf sheath also. The affected tissues rot and abundant sclerotia are seen in the rotting tissues.,"Use recommended doses of fertilizer.
Deep ploughing in summer and burning of stubbles and infected straw
Draining off the irrigation water and allow the soil to dry"
Algal leaf spot,"Gray, green or tan raised spots or blotches with green margins on leaves",Avoid overhead irrigation which can spread the disease; provide adequate space between plants to maximize air circulation around foliage; avoid wounding plants; prune out diseases parts of plants by cutting 6 inches below any visible symptoms; application of appropriate protective fungicides should be made in Spring when old leaves drop from plants
Alternaria leaf spot,"An infected host will develop a number of lesions on the surface of leaves. Lesions will appear as small circular spots with light brown centers surrounded by dark concentric rings. Spotting is most prevalent on lower, older leaves, but new leaves are susceptible too. Spots that are close together may combine to form one large spot. Heavily spotted leaves will quickly turn yellow, wilt, and fall due to lack of water. Leaves suffer the most from these symptoms, but stems, flowers, and seed pods can all be affected.","Apply sulfur sprays or copper-based fungicides weekly at first sign of disease to prevent its spread. These organic fungicides will not kill leaf spot, but prevent the spores from germinating. Safely treat most fungal and bacterial diseases with SERENADE Garden."
Angular leaf spot ,"Small water-soaked lesions on leaves which expand between leaf veins and become angular in shape; in humid conditions, lesions exude a milky substance which dries to form a white crust on or beside lesions; as the disease progresses, lesions turn tan and may have yellow/green edges; the centers of the lesions dry and may drop out leaving a hole in the leaf","Use disease-free seed; do not grow plants in field where cucurbits have been grown in the previous 2 years; protective copper spray may help reduce incidence of disease in warm, humid climates; plant resistant varieties"
Anthracnose," Infected plants develop dark, water soaked lesions on stems, leaves or fruit. The centers of these lesions often become covered with pink, gelatinous masses of spores especially during moist, warm weather.","Choose resistant plant varieties when possible and use western grown seeds which have not been exposed to the disease.Neem oil spray is an organic, multi-purpose fungicide/insecticide/miticide that kills eggs, larvae and adult stages of insects as well as prevents fungal attack on plants. Apply early, at the first sign of spring budding, every 7-14 days as a preventative measure or on a 7-day schedule until existing problems are eliminated."
Aster yellows,"Foliage turning yellow; secondary shoots begin growing prolifically; stems take on a rigid, upright growth habit; leaves are often small in size and distorted, may appear thickened; flowers are often disfigured and possess conspicuous leafy bracts; fruits are small and pale in color",Remove any infected plants from the field to reduce spread; control weeds in and around the field that may act as a reservoir for the phytoplasma; protect plants from leaf hopper vectors with row covers
Bacterial fruit blotch,"extensive chlorosis as well as elongated tan lesions along the leaf veins. Shot-holing of leaves is also commonly observed. Fruit symptoms on pumpkin are similar to those found on melon and include water-soaked areas, cracks in the rind and internal rotting of the fruit.","use of disease free seed, adequate sanitation, and crop rotation is suggested"
