Crop        ,Season                                            ,min_Rain,max_Rain,Season_num          ,Min_TempC,Max_TempC,IRRIGATIONMETHODS                                                                                                                                                                                                                                                                                       ,FertilizerAdv                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,FertilizerKgpha                                                                                                                                                                                                                                                    ,Yield                                      ,min_Yield,max_Yield,Soil_pH                              ,min_pH,max_pH,Rainfall                          ,,,Flower_Initiation                                            ,Ist_picking                                                 ,Picking_start,Growth_regulator                                                                                                                                                                                                                                                                                          ,No.of_pickings:                  ,Date_of_pickings                       ,Gap,Count
Bhindi      ,"(June-July),(Jan-Feb)"                           ,        ,        ,"6,7,1,2"           ,17       ,42       ,The daily water requirement of Okra is 2.4l/day/4 plants during early growth stage and 7.6l/day/4 plants during the peak growth stage.                                                                                                                                                                  ,"Apply FYM 25 t/ha, N 20 kg, P 50 kg and K 30 kg/ha as basal and 20 kg N/ha 30 days  after  sowing.  Apply  Azospirillum and Phosphobacterium each  at  2  kg/ha  mixed in 100 kg of FYM before sowing. "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,NPK-200:100:100                                                                                                                                                                                                                                                    ,25-27 T                                    ,25       ,27       ,6-6.8                                ,6     ,6.5   ,                                  ,,,35 DAS                                                       ,45-50 DAS                                                   ,45           ,*Cycocel@100 ppm/ Lehosin@500 ppm at 5-6 leaf stage- to check excess growth during rainy season apply the same before flowering for seed production/size. *To enhance growth during winter & germination- GA3 @100 ppm                                                                                    ,20-30(alternate days)            ,46-74                                  ,1  ,25
Chilli      ,"(may-june),(august-september),(december-january)",62      ,150     ,"5,6,8,9,12,1"      ,20       ,35       ,Chili cannot withstand heavy moisture.Hence irrigation should be given only when necessary.                                                                                                                                                                                                             ,"Apply  FYM  25  t/ha,  N  30  kg  P  60  kg  and  K  30  kg/ha  as  basal  and  30  kg  N/ha  each  on  30,  60  and  90  days  of  planting.  Application  of  potassium  in  the  form  of  potassium sulphate will increase quality of pods.  "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,NPK-200:100:100                                                                                                                                                                                                                                                    ,30-35 T (Green).25-40% of green chilli(Dry),30       ,35       ,7.6                                  ,6.5   ,7.5   ,                                  ,,,45 DAT                                                       ,70-75 DAT(2-5 months)                                       ,71           ,"*NAA@ 50 ppm, at flowering reduces flower drop & increases fruit setting *Lehosin @ 200 ppm improves fruit quality( fruit dev. & capsaicin). *K-increases capsaicin *MH @ 300 ppm & Ethrel @ 200 ppm supressed flowering"                                                                                ,6- 10(1-2 weeks interval)3 months,"80,92,104,116,128,140,153"            ,10 ,10
Brinjal     ,"(may-june),(august-september),(december-january)",        ,        ,"5,6,8,9,12,1"      ,22       ,35       ,"Irrigation should be applied for every 3 to 4 days during hot weather and every 7 to 12 days during winter.
"                                                                                                                                                                                          ,"N  50  kg,  P  50  kg  and  K  30  kg/ha  is  applied  as  basal  dose  and  N  50  kg/ha  30  days after transplanting. Apply 2 kg each of Azospirillum and Phosphobacteria in the main field at the time of planting.  "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,NPK-200:100:100                                                                                                                                                                                                                                                    ,50-60 T                                    ,50       ,60       ,5-5.6                                ,5     ,5.6   ,                                  ,,,40 DAT                                                       ,70-75 DAT                                                   ,70           ,"*2,4-D @2 ppm- -enhances fruit setting -earliness -Parthenocarpy -advanced fruit formation *Tetracycline-@ 1000 ppm to check mycoplasma"                                                                                                                                                                 ,11                               ,"80,91,102,113,124,135,146,157,168,178",11 ,10
Tomato      ,"(may-june),(august-september),(december-january)",60      ,80      ,"5,6,8,9,12,1"      ,13       ,32       ,Irrigation should be applied for every 4 to 7 days during summer season and every 8 to 12 days during winter.Drip irrigation is highly recommended.                                                                                                                                                     ,"Apply FYM 25 t/ha, N 75 kg, P 100 kg, K 50 kg, Borax 10 kg and Zinc sulphate 50  kg/ha  as  basal  dose  and  75  kg  N/ha  on  30th  day  of  planting  during  earthing  up. Spray 1.25 ppm (1.25 mg in one lit) Triacontanol, 30 days after transplanting and at full bloom stage to increase the yield. "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,NPK-200:100:100. Bo for cracking                                                                                                                                                                                                                                   ,75-80 T                                    ,75       ,80       ,6.0-7.0                              ,6     ,7     ,                                  ,,,35-36 DAT                                                    ,80 DAT                                                      ,80           ,"*2,4-D @ 2 ppm & NAA @ 1ppm-for fruitset. *Bo-for crackingNAA @ 20-40 ppm - to reduce flower & fruit drop *NAA @ 50 ppm improve fruit quality/taste *Ethrel-@ 600 ppm during fruiting- for ripening & colour *Bo-To avoid fruit cracking GA3 for earlt & uniform germination *Cycocel-seedling hardening",10-12                            ,                                       ,   ,
Bottle gourd,"(June-July),(Jan-Feb)"                           ,        ,        ,"1,2,6,7"           ,20       ,40       ,Use Drip irrigation.The Summer crop requires frequent watering at an interval of 3 to 4 days.The winter crop is irrigated as and when needed.Irrigation is not required in rainy season.                                                                                                                ,"Apply 10 kg of FYM (20 t/ha), 100 g of NPK 6:12:12 mixture/pit as basal and 10 g of N/pit 30 days after sowing. "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,NPK-200:100:100                                                                                                                                                                                                                                                    ,65-75 T                                    ,65       ,75       ,above 5.5                            ,5.4   ,7     ,                                  ,,,Female flower-50-58 days                                     ,60-65 DAS                                                   ,60           ,*Ethrel-increases the % of female flower which in turm enhances the yield *MH@ 50-100 ppm at 2 leaf stage and a week later improves % of Female flowers                                                                                                                                                   ,                                 ,                                       ,   ,
Ridge Gourd ,"(June-July),(Jan-Feb)"                           ,        ,        ,"1,2,6,7"           ,20       ,40       ,Drip watering is most beneficial.The Summer crop requires frequent watering at an interval of 3 to 4 days.Irrigation is not required in rainy season.                                                                                                                                                   ,"Apply 10 kg of FYM (20 t/ha), 100 g of NPK 6:12:12 mixture/pit as basal and 10 g of N/pit 30 days after sowing. "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,NPK-200:100:100                                                                                                                                                                                                                                                    ,45-50 T                                    ,45       ,50       ,acidic soil                          ,6.5   ,7     ,                                  ,,,Female-44-45 days                                            ,50-55 DAS                                                   ,50           ,*Ethrel-increases the % of female flower which in turm enhances the yield                                                                                                                                                                                                                                 ,                                 ,                                       ,   ,
Bitter gourd,"(June-July),(Jan-Feb)"                           ,        ,        ,"1,2,6,7"           ,20       ,40       ,Use drip system.Irrigate the basins before dibbling the seeds and thereafter once a week.                                                                                                                                                                                                               ,Apply 10 kg of FYM per pit (20 t/ha) 100 g of NPK 6:12:12/pit as basal and 10 g of N/pit 30 days after sowing.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,NPK-200:100:100                                                                                                                                                                                                                                                    ,60-65 T                                    ,60       ,65       ,acidic soil                          ,5.5   ,6.7   ,                                  ,,,Male-45-46 days(20-21st node) Female-50-52 days(24-25th node),55-60 DAS                                                   ,55           ,"*Ethrel -@ 200 ppm, seed soaking/hrdifferentiation of female flowers, *GA3-@ 100 ppm seed soaking- enhances germination, BA @ 25 ppm, seed soaking differentiation of Female flowers"                                                                                                                    ,                                 ,                                       ,   ,
Cauliflower ,(aug-sep)                                         ,        ,        ,"8,9"               ,5        ,31.5     ,Watering should be provided to crop every 4-7 days to the early planting and 10 to 15 days for late crop cultivation.                                                                                                                                                                                   ,"Hills Apply  30  t/ha  of  FYM  and  90  kg  N,  90  kg  P  and  90  kg  K  as  basal  dose  and  45:45:45 kg NPK/ha after 45 days. PlainsApply 15 t of FYM/ha and 50 kg N, 100 kg P and 50 kg K as basal and 50 kg N after  45  days.  Apply  2  kg  of  Departmental  Vegetable  micronutrient  mixture  without mixing with the chemical fertilizers. "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,NPK-200:125:150                                                                                                                                                                                                                                                    ,30-35T                                     ,30       ,35       ,Water Stagnation Soil is required    ,6.5   ,6.8   ,                                  ,,,                                                             ,50-60 DAT                                                   ,50           ,*GA3 effect: more pronounced when curd initiation delayed by high temp.(regulates harvesting time)                                                                                                                                                                                                        ,                                 ,                                       ,   ,
Cabbage     ,(jan-dec)                                         ,        ,        ,1-12                ,15       ,25       ,"Use Drip irrigation.In winter season,irrigation at an interval of 8-10 days is sufficient."                                                                                                                                                                                                            ,"Hills Apply  30  t/ha  FYM,  90  kg  N,  90  kg  P  and  90  kg  K  as  basal  and  45:45:45  kg  NPK/ha on 30 to 45 days after planting.   PlainsApply  20  t/ha  of  FYM,  50  kg  N,  125  kg  P  and  25  kg  K/ha  along  with  2  kg  Azospirillum as basal and 50 kg N after one month of planting and earth up. "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,NPK-200:125:150                                                                                                                                                                                                                                                    ,50-55T                                     ,50       ,55       ,6-6.5                                ,6     ,6.5   ,                                  ,,,                                                             ,60-70 DAT                                                   ,60           ,                                                                                                                                                                                                                                                                                                          ,                                 ,                                       ,   ,
Radish      ,(oct-nov)                                         ,        ,        ,"10,11"             ,19       ,27       ,Radish plants need regular watering.Irrigate daily for the first 4-5days;then every 3-4days depending on rainfall.                                                                                                                                                                                      ,"Apply FYM at 25 t/ha and 25 kg N, 100 kg P and 50 kg K/ha as basal dressing and 25 kg N/ha after 30 days. "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,NPK-100:50:100                                                                                                                                                                                                                                                     ,40-45 T                                    ,40       ,45       ,loam soil                            ,6     ,7     ,                                  ,,,                                                             ,35-40DAS                                                    ,35           ,*NAA -20ppm improves yield                                                                                                                                                                                                                                                                                ,                                 ,                                       ,   ,
