Crop,Season,min_Rain,max_Rain,Season_num,Min_TempC,Max_TempC,FertilizerKgpha,Yield,min_Yield,max_Yield,Soil_pH,min_pH,max_pH,Rainfall,Flower_Initiation,Ist_picking,Picking_startdays,Growth_regulator,No.of_pickings:,Date_of_pickings,Gap,Count,ECdsm,OrganicCarbonP,Nitrogenkgha,Phosphoruskgha,Potassium_kgha,Sulphur_ppm,Zinc_ppm,Boron_ppm,Ironppm,Manganese_ppm,Copper_ppm,Waterph,min2months,max2months
Bhindi,"(June-July),(Jan-Feb)",,,"6,7,1,2",17,42,NPK-200:100:100,25-27 T,25,27,6-6.8,6,6.5,,35 DAS,45-50 DAS,45,*Cycocel@100 ppm/ Lehosin@500 ppm at 5-6 leaf stage- to check excess growth during rainy season apply the same before flowering for seed production/size. *To enhance growth during winter & germination- GA3 @100 ppm,20-30(alternate days),46-74,1,25,0.21,0.42,161,17,326,7.38,0.23,0.01,7.25,6.23,1.12,6.25,135,227
Chilli,"(may-june),(august-september),(december-january)",62,150,"5,6,8,9,12,1",20,35,NPK-200:100:100,30-35 T (Green).25-40% of green chilli(Dry),30,35,7.6,6.5,7.5,,45 DAT,70-75 DAT(2-5 months),71,"*NAA@ 50 ppm, at flowering reduces flower drop & increases fruit setting *Lehosin @ 200 ppm improves fruit quality( fruit dev. & capsaicin). *K-increases capsaicin *MH @ 300 ppm & Ethrel @ 200 ppm supressed flowering",6- 10(1-2 weeks interval)3 months,"80,92,104,116,128,140,153",10,10,0.23,0.84,164,13,335,7.38,0.94,0.57,4.35,1.78,0.56,6.25,130,260
Brinjal,"(may-june),(august-september),(december-january)",,,"5,6,8,9,12,1",22,35,NPK-200:100:100,50-60 T,50,60,5-5.6,5,5.6,,40 DAT,70-75 DAT,70,"*2,4-D @2 ppm- -enhances fruit setting -earliness -Parthenocarpy -advanced fruit formation *Tetracycline-@ 1000 ppm to check mycoplasma",11,"80,91,102,113,124,135,146,157,168,178",11,10,0.43,0.53,152,12,359,7.38,0.25,0.24,7.25,5.34,1.12,8.75,139,258
Tomato,"(may-june),(august-september),(december-january)",60,80,"5,6,8,9,12,1",13,32,NPK-200:100:100. Bo for cracking,75-80 T,75,80,6.0-7.0,6,7,,35-36 DAT,80 DAT,80,"*2,4-D @ 2 ppm & NAA @ 1ppm-for fruitset. *Bo-for crackingNAA @ 20-40 ppm - to reduce flower & fruit drop *NAA @ 50 ppm improve fruit quality/taste *Ethrel-@ 600 ppm during fruiting- for ripening & colour *Bo-To avoid fruit cracking GA3 for earlt & uniform germination *Cycocel-seedling hardening",10-12,,,,0.42,0.92,158,13,320,7.38,0.37,0.75,2.9,4.45,1.68,7.5,116,253
Bottle gourd,"(June-July),(Jan-Feb)",,,"1,2,6,7",20,40,NPK-200:100:100,65-75 T,65,75,above 5.5,5.4,7,,Female flower-50-58 days,60-65 DAS,60,*Ethrel-increases the % of female flower which in turm enhances the yield *MH@ 50-100 ppm at 2 leaf stage and a week later improves % of Female flowers,,,,,0.91,0.38,161,14,323,8.61,0.9,0.18,4.35,3.56,2.24,7.5,117,244
Ridge Gourd,"(June-July),(Jan-Feb)",,,"1,2,6,7",20,40,NPK-200:100:100,45-50 T,45,50,acidic soil,6.5,7,,Female-44-45 days,50-55 DAS,50,*Ethrel-increases the % of female flower which in turm enhances the yield,,,,,0.78,0.31,166,17,345,7.38,0.31,0.54,4.35,3.56,2.24,6.25,149,223
Bitter gourd,"(June-July),(Jan-Feb)",,,"1,2,6,7",20,40,NPK-200:100:100,60-65 T,60,65,acidic soil,5.5,6.7,,Male-45-46 days(20-21st node) Female-50-52 days(24-25th node),55-60 DAS,55,"*Ethrel -@ 200 ppm, seed soaking/hrdifferentiation of female flowers, *GA3-@ 100 ppm seed soaking- enhances germination, BA @ 25 ppm, seed soaking differentiation of Female flowers",,,,,0.39,0.74,166,18,357,6.15,0.43,0.73,2.9,2.67,0.56,6.25,133,260
Cauliflower,(aug-sep),,,"8,9",5,31.5,NPK-200:125:150,30-35T,30,35,Water Stagnation Soil is required,6.5,6.8,,,50-60 DAT,50,*GA3 effect: more pronounced when curd initiation delayed by high temp.(regulates harvesting time),,,,,0.97,0.9,163,15,332,6.15,0.39,0.82,5.8,1.78,2.24,7.5,111,259
Cabbage,(jan-dec),,,1-12,15,25,NPK-200:125:150,50-55T,50,55,6-6.5,6,6.5,,,60-70 DAT,60,,,,,,0.51,0.24,156,16,336,6.15,0.38,0.09,4.35,1.78,1.68,8.75,127,224
Radish,(oct-nov),,,"10,11",19,27,NPK-100:50:100,40-45 T,40,45,loam soil,6,7,,,35-40DAS,35,*NAA -20ppm improves yield,,,,,0.79,0.5,164,18,353,8.61,0.65,0.72,8.7,3.56,1.12,8.75,148,256
Carrot,(jan-dec),,,1-12,11,25,"*M+G19H- @ 50 ppm, at 2 &4 leaf stage-Improves % of Female flowers & fruit quality. *TIBA @25-50 ppm at 2 & 4 leaf stage-improves flowering & fruit setting . *Bo@ 2-3 ppm at 2 & 4 leaf stage controls cracking. *Ethephon@250ppm seed soaking- M/F ratio lowest",,,,"deep,loose,loam soil",6,6.8,,,,,"*Seed soaking inMn(0.02%) & B (0.01%) for 24 hrs gives better germination & thicker stand of larger roots *IBA@ 50 ppm seed soaking for 12 hrs improves root carotene ,Seed treatment with ZnSO4- increase yield",,,,,0.51,0.74,170,14,354,6.15,0.64,0.72,8.7,3.56,1.68,8.75,120,257
Beet root,(aug-dec),,,"8,9,10,11,12",6,19,NPK-25:40:25,35-40 T,35,40,"well drained,loamy or sandy soil",5.8,7,,,Maturity in 65-70 days,65,*Apply manganese sulphate when grown in alkaline soil.,,,,,0.83,0.61,164,13,324,6.15,0.23,0.22,4.35,3.56,1.68,7.5,138,243
Onion,(jun-aug),,,"6,7,8",12.5,26,NPK-100:50:100,"Rabi-25-30 T, In Kh comparatively low",25,30,5.8-6.5,5.8,6.5,,,Full maturity-110-120 days,110,"*Application of MH before harvest enhances the storage life * Application of Zinc at 2-3 ppm significantly increses the yield and enhances quality of bulbs by increasing TSS, sugars & ascorbic acid.",,,,,0.45,0.35,166,13,351,6.15,0.1,0.21,5.8,5.34,1.12,6.25,125,249
