CROPS       ,PEST
Bhindi      ,"Shoot and fruit borer, Root-knot Nematode, Leaf Hoppers, Mites, Whitefly,Aphids"
Chilli      ,"Aphids, Broad mite, Thrips,Tomato fruit worm, Mealy Bugs, Root-knot Nematode"
Brinjal     ,"Shoot and fruit borer, Leaf eating beetle, Jassids, Leaf roller, Red spider mite, Mealy Bugs, Root-knot Nematode"
Tomato      ,"Tomato fruit worm, Epilachna beetle,Jassids, Tobacco Caterpillar, Whitefly, Mites, Root-knot Nematode"
Bottle gourd," Fruit Flies, Epilachna beetle,Red Pumpkin Beetle, Aphids"
Ridge Gourd ,Ridgegourd caterpillar
Bitter gourd," Fruit Flies, Epilachna beetle,Red Pumpkin Beetle, Aphids"
Cauliflower ,Diamondback moth
Cabbage     ,"Diamondback moth, Leaf webber, Cabbage borer, Cabbage butterfly, Aphids"
Radish      ,"Aphids, Mustard Sawfly"
Carrot      ,"Carrot fly, Willow-carrot aphid"
Beet root   ,"Beet leaf miner, Web worm, Semilooper"
Onion       ,"Onion thrips, Red spider mite, Eriophyid mite, Head Borer, Cutworms"
Cowpea      ,"Pod borer, American serpentine leaf miner, Aphids, Pod bug"
Cluster bean,"Termites, Jassids,Aphids,Whitefly"
Spinach     ,"slug, Aphids, Greenhouse whitefly, Cabbage flea beetles, Leaf miner, Turnip root fly, Mites"
Coriander   ,"Aphids ,Red spider mite"
Watermelon  ,"Red Pumpkin Beetle, Aphids, Fruit Flies, Mites"
Rice        ,"Rice stem borer, Gall midge, Rice bug, Leaf folder, Brown plant hopper, Rice case worm, Rice swarming caterpillar, Rice hispa, Thrips, Whorl maggots, Leaf Hoppers, Mealy Bugs, Root-knot Nematode"
Wheat       ,"Aphids, Brown Wheat Mite, Army Worm, Termites"
Sugarcane   ,"shoot borers, Mealy Bugs, White Grubs, Termites,Rodents"
Coconut     ,"Rhinoceros beetle, Red palm weevil, Leaf eating caterpillar, Coreid bug, Cockchafer beetle, Coconut eriophyid mite, Mealy Bugs, Termites,Rodents"
Rubber      ,"Scale Insects, Mealy Bugs, Termites, Bark feeding caterpillar, Mites, slug,Rodents"
Coffee      ,"Coffee berry borer, Stem borer, Mealy Bugs, Green scale"
Tea         ,"Nematodes, Insects, Stem borer, Mites, Thrips, Tea mosquito bug"
Banana      ,"Aphids, Nematodes"
Maize       ,"Stem fly, Stem borer, Pink stem borer,  Corn worm,  Ear head bug,  Web worm,  Ash weevil,  Leafhopper, Corn-Aphid, Shoot bug"
Jute        ,"Stem girdling beetle Nupserha bicolor postbrunnea, Jute weevil Apion corchori Mshll, Spodoptera exigua"
Cotton      ,"Jassids, Aphids, Thrips, Whitefly, bollworm"
Bajra       ,"Indian meal moth, Angoumois grain moth,Red flour beetle"
Jowar       ,"Jowar Shoot Fly, Jowar Stem Borer"
Citrus      ,"Citrus Psylla, Bark Borer, Citrus Leaf Miner, Citrus White Fly/ Citrus Black Fly, Aphids, Citrus Butterfly, Fruit Sucking Moths, Citrus Mite, Scale Insects, Fruit Flies, Citrus Nematode"
Grapes      ,"Flea Beetles, Thrips, Grape Scale Insects, Grape Leaf Hopper, Mealy Bugs, Grape Leaf Roller, Grape Stem- Borer, Tobacco Caterpillar, Stem Girdler, Reniform Nematode, Root-knot Nematode"
Guava       ,"Fruit Flies, Mealy Bugs, Kajji Bug"
Litchi      ,"Eriophyid mite, Bark eating caterpillar"
Mango       ,"Leafhopper, Stem borer, Fruit Flies"
Papaya      ,"Papaya Spider Mite, Fruit Flies , Nematodes"
Pineapple   ,"Mealy Bugs, Scale Insects"
Pomegranate ,"Pomegranate Butterfly, Bark eating caterpillar, Whitefly, Aphids, Mealy Bugs, Scale Insects, Fruit Flies"
Sapota      ,"Chiku Bud Borer, Leaf miner, Fruit Flies, Mealy Bugs"
Apple       ,"Codling Moth, Apple Clearwing Moth, Woolly Apple Aphid, Blossom Thrips, Red spider mite, San Jose Scale, Root Borer"
Turnip      ,"Aphids, Mustard Sawfly"
Mint        ,"Mint Leaf Roller, Red Pumpkin Beetle, Cutworms, Hairy Caterpillar"
Jasmine     ,"Bud Worm, The Gallery Worm, Mites, Root-knot Nematode"
Mari Gold   ,"Aphids,Leaf Hoppers, Red spider mite"
Tuberose    ,"BudBorer, Aphids, Grasshoppers, Red spider mite,Rodents, Thrips"
Raddish     ,"Aphids, Mustard Sawfly"
Potato      ,"Aphids, Cutworms, Mites, Root-knot Nematode, Potato Cyst Nematode, White Grubs, Potato Tubermoth"
Lemon       ,"Citrus Butterfly, Leaf miner, Citrus White Fly/ Citrus Black Fly, Whitefly,Citrus Psylla, Scale Insects"
